Name,Latitude,Longitude,Location,Location Details,Asset Type,Operations,Container Type,Volume(m^2),Weight Capacity
900,51.8775062,4.4707931,Service Point,Over de Slinge Sommelsdijkstraat 19,Textile Container,Textile Collection,JoBa,2.909,250
899,51.907832,4.4423955,Service Point,Dakpark school,Textile Container,Textile Collection,JoBa,2.909,250
898,51.9222784,4.4593025,Service Point,Vrije School Rotterdam West,Textile Container,Textile Collection,JoBa,2.909,250
896,51.9483567,4.4536007,Service Point,Park16hoven Tinbergenlaan 50,Textile Container,Textile Collection,JoBa,2.909,250
895,51.9532419,4.4551595,Service Point,Park16hoven Woensdrechtstraat 9,Textile Container,Textile Collection,JoBa,2.909,250
894,51.9574019,4.5136345,Service Point,De Bergse veld school,Textile Container,Textile Collection,JoBa,2.909,250
893,51.9551337,4.5387097,Service Point,Albert Plesman IKC,Textile Container,Textile Collection,JoBa,2.909,250
892,51.9648227,4.5763817,Service Point,OBS de Waterlelie,Textile Container,Textile Collection,JoBa,2.909,250
890,51.9411108,4.5416623,Service Point,De Kleine Prins Rotterdam,Textile Container,Textile Collection,JoBa,2.909,250
889,51.9174806,4.5454009,Service Point,Daltonschool de Vijfster,Textile Container,Textile Collection,JoBa,2.909,250
888,51.945537969733145,4.708479676480365,Service Point,Krimpenerwaard - Kerkweg 1,Textile Container,Textile Collection,JoBa,2.909,250
887,51.9282543,4.642842,Service Point,Krimpenerwaard - Geerlaan 1,Textile Container,Textile Collection,JoBa,2.909,250
886,51.9322072,4.6376651,Service Point,Krimpenerwaard - Rozenlaan 1,Textile Container,Textile Collection,JoBa,2.909,250
885,51.9322072,4.6376651,Service Point,Krimpenerwaard - Rozenlaan 1,Textile Container,Textile Collection,JoBa,2.909,250
884,51.9347042,4.6362994,Service Point,Krimpenerwaard - Burgemeester Neetstraat 1,Textile Container,Textile Collection,JoBa,2.909,250
883,51.9347042,4.6362994,Service Point,Krimpenerwaard - Burgemeester Neetstraat 1,Textile Container,Textile Collection,JoBa,2.909,250
882,51.9658717,4.6417295,Service Point,Krimpenerwaard - Breeweer 1,Textile Container,Textile Collection,JoBa,2.909,250
881,51.9839262,4.6760371,Service Point,Krimpenerwaard - Johan Brouckplein 1,Textile Container,Textile Collection,JoBa,2.909,250
880,51.9839262,4.6760371,Service Point,Krimpenerwaard - Johan Brouckplein 1,Textile Container,Textile Collection,JoBa,2.909,250
879,52.0013753,4.7753253,Service Point,Krimpenerwaard - Kleine haven 11,Textile Container,Textile Collection,JoBa,2.909,250
878,52.0013753,4.7753253,Service Point,Krimpenerwaard - Kleine haven 11,Textile Container,Textile Collection,JoBa,2.909,250
877,51.9998369,4.7779099,Service Point,Samenwerkingsschool De Pelikaan,Textile Container,Textile Collection,JoBa,2.909,250
876,51.9743143,4.7735,Service Point,Krimpenerwaard - Kivietslaan,Textile Container,Textile Collection,JoBa,2.909,250
875,51.9743143,4.7735,Service Point,Krimpenerwaard - Kivietslaan,Textile Container,Textile Collection,JoBa,2.909,250
874,51.9743143,4.7735,Service Point,Krimpenerwaard - Kivietslaan,Textile Container,Textile Collection,JoBa,2.909,250
873,51.9616211,4.5888491,Service Point,Aldi Nieuwerkerk,Textile Container,Textile Collection,JoBa,2.909,250
872,52.0688501,4.3058422,Service Point,Schildershoeve,Textile Container,Textile Collection,MCB special,3.25,300
871,52.1069604,4.2801769,Service Point,t Waaygat,Textile Container,Textile Collection,MCB special,3.25,300
870,52.1669188,4.5076935,Service Point,ISN Mimar Sinan Leiden,Textile Container,Textile Collection,JoBa,2.909,250
869,52.1669188,4.5076935,Service Point,ISN Mimar Sinan Leiden,Textile Container,Textile Collection,JoBa,2.909,250
864,52.440218,4.8291171,Service Point,Mili Gorus Zaandam,Textile Container,Textile Collection,JoBa,2.909,250
863,52.440218,4.8291171,Service Point,Mili Gorus Zaandam,Textile Container,Textile Collection,JoBa,2.909,250
862,52.454897,4.6209649,Service Point,Waldorf aan Zee,Textile Container,Textile Collection,JoBa,2.909,250
861,52.4140889,4.6452525,Service Point,Milli Gorus Fatih Haarlem,Textile Container,Textile Collection,JoBa,2.909,250
860,52.4140889,4.6452525,Service Point,Milli Gorus Fatih Haarlem,Textile Container,Textile Collection,JoBa,2.909,250
859,52.35855974210572,4.649681389695069,Service Point,Moskee Furkan Haarlem,Textile Container,Textile Collection,JoBa,2.909,250
858,52.35855974210572,4.649681389695069,Service Point,Moskee Furkan Haarlem,Textile Container,Textile Collection,JoBa,2.909,250
857,52.2447228,4.556435,Service Point,Jenaplanschool de Waterval,Textile Container,Textile Collection,JoBa,2.909,250
856,52.147908,4.467449,Service Point,Moskee Fatih Sultan Leiden,Textile Container,Textile Collection,JoBa,2.909,250
843,51.8421469,4.3377473,Service Point,MGR Bekkerschool Spijkenisse,Textile Container,Textile Collection,JoBa,2.909,250
842,51.8546466,4.3158197,Service Point,Vereniging N.T.O. Spijkenisse,Textile Container,Textile Collection,JoBa,2.909,250
841,51.8546466,4.3158197,Service Point,Vereniging N.T.O. Spijkenisse,Textile Container,Textile Collection,JoBa,2.909,250
840,51.8783314,4.1783254,Service Point,OBS De Tiende Penning,Textile Container,Textile Collection,JoBa,2.909,250
839,51.9020087,4.1618018,Service Point,De Brielse Veste,Textile Container,Textile Collection,JoBa,2.909,250
837,51.8378847,4.1290037,Service Point,ISN Eyup Sultan Hellevoetsluis,Textile Container,Textile Collection,JoBa,2.909,250
836,51.8378847,4.1290037,Service Point,ISN Eyup Sultan Hellevoetsluis,Textile Container,Textile Collection,JoBa,2.909,250
834,51.8051817,4.0278072,Service Point,Basisschool Stellegors,Textile Container,Textile Collection,JoBa,2.909,250
833,51.8004239,4.0216646,Service Point,Kerk Stellendam,Textile Container,Textile Collection,JoBa,2.909,250
832,51.8004239,4.0216646,Service Point,Kerk Stellendam,Textile Container,Textile Collection,JoBa,2.909,250
830,51.4624928,3.5719734,Service Point,Archipelschool De Omnibus,Textile Container,Textile Collection,JoBa,2.909,250
829,51.4691323,3.6025211,Service Point,Archipelschool Tweemaster-kameleon,Textile Container,Textile Collection,JoBa,2.909,250
828,51.4917995,3.6290165,Service Point,Archipelschool Het Element,Textile Container,Textile Collection,JoBa,2.909,250
827,51.4819427,3.6581841,Service Point,De Lonneboot,Textile Container,Textile Collection,JoBa,2.909,250
824,51.4863183,4.3049751,Service Point,ISN Ulu Bergen op zoom,Textile Container,Textile Collection,JoBa,2.909,250
823,51.4863183,4.3049751,Service Point,ISN Ulu Bergen op zoom,Textile Container,Textile Collection,JoBa,2.909,250
822,51.5681073,4.1966425,Service Point,OBS Die Heenetrecht,Textile Container,Textile Collection,JoBa,2.909,250
821,51.5973262,4.1026013,Service Point,School met de Bijbel,Textile Container,Textile Collection,JoBa,2.909,250
819,51.833921212061874,4.362969038745846,Service Point,Reinis - Hadewychplaats,Textile Container,Textile Collection,JoBa,2.909,250
818,51.833921212061874,4.362969038745846,Service Point,Reinis - Hadewychplaats,Textile Container,Textile Collection,JoBa,2.909,250
817,51.827993772336626,4.371531526955947,Service Point,Reinis - Selma Lagerlofstraat,Textile Container,Textile Collection,JoBa,2.909,250
816,51.8422101,4.324284,Service Point,Reinis- Weegschaal,Textile Container,Textile Collection,JoBa,2.909,250
815,51.83394938874332,4.319275830813388,Service Point,Reinis - Winterakker,Textile Container,Textile Collection,JoBa,2.909,250
814,51.83394938874332,4.319275830813388,Service Point,Reinis - Winterakker,Textile Container,Textile Collection,JoBa,2.909,250
813,51.8464440092623,4.321027646309493,Service Point,Reinis - Hoeklaan,Textile Container,Textile Collection,JoBa,2.909,250
812,51.84856076602424,4.327212538393855,Service Point,Reinis - Marrewijklaan,Textile Container,Textile Collection,JoBa,2.909,250
811,51.85344673869196,4.322405968733768,Service Point,Reinis - Groene Kruisweg,Textile Container,Textile Collection,JoBa,2.909,250
810,51.85404150213107,4.317020124354528,Service Point,Reinis - t Plateau,Textile Container,Textile Collection,JoBa,2.909,250
809,51.85404150213107,4.317020124354528,Service Point,Reinis - t Plateau,Textile Container,Textile Collection,JoBa,2.909,250
808,51.856440356764374,4.311247992420305,Service Point,Reinis - Rembrandstraat,Textile Container,Textile Collection,JoBa,2.909,250
807,51.86192,4.236245,Service Point,Reinis - Nico de Regtplein,Textile Container,Textile Collection,JoBa,2.909,250
806,51.86192,4.236245,Service Point,Reinis - Nico de Regtplein,Textile Container,Textile Collection,JoBa,2.909,250
805,51.86192,4.236245,Service Point,Reinis - Nico de Regtplein,Textile Container,Textile Collection,JoBa,2.909,250
804,51.86448006010209,4.244867779956719,Service Point,Reinis - Branderf,Textile Container,Textile Collection,JoBa,2.909,250
803,51.84811671101736,4.246557850594438,Service Point,Reinis - Gemeenlandsedijk Zuid,Textile Container,Textile Collection,JoBa,2.909,250
801,51.84811671101736,4.246557850594438,Service Point,Reinis - Gemeenlandsedijk Zuid,Textile Container,Textile Collection,JoBa,2.909,250
705,52.1504341,4.488054,Service Point,IBS Er Riseleh,Textile Container,Textile Collection,JoBa,2.909,250
704,52.1944582,4.47812,Service Point,Joris de Witte,Textile Container,Textile Collection,JoBa,2.909,250
703,52.29525049999999,4.6914988,Service Point,IKC Wereldwijs,Textile Container,Textile Collection,JoBa,2.909,250
