Service Point Name,Operations,Latitude,Longitude,Address
"John F. Kennedylaan 16, 2661JH te Bergschenhoek",Textile Collection,51.983927,4.504132,"16, John F. Kennedylaan, Dorp, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 JH, Netherlands"
Droppie Den Haag Fahrenheitstraat,Textile Collection,52.077169,4.27058,"Bloemsierkunst Golden Belinda, Acaciastraat, Bomenbuurt, Segbroek, The Hague, South Holland, Netherlands, 2565 JZ, Netherlands"
Droppie Den Haag Savornin Lohmanplein,Textile Collection,52.066444,4.246014,"Winkelcentrum de Savornin Lohman, Thorbeckelaan, Vruchtenbuurt, Segbroek, The Hague, South Holland, Netherlands, 2564 AZ, Netherlands"
Droppie Den Haag Bergenstraat,Textile Collection,52.096854,4.270113,"39, Van Bergenstraat, Statenkwartier, Scheveningen, The Hague, South Holland, Netherlands, 2583 CS, Netherlands"
Droppie Den Haag Theresiastraat,Textile Collection,52.086389,4.337989,"Hoogvliet, 145, Theresiastraat, Bezuidenhout, Haagse Hout, The Hague, South Holland, Netherlands, 2593 AG, Netherlands"
Droppie Rotterdam,Textile Collection,51.932403,4.470968,"Voorburgstraat, Liskwartier, Noord, Rotterdam, South Holland, Netherlands, 3037 BS, Netherlands"
"Romenpad 9, 2652BX te Berkel en Rodenrijs",Textile Collection,51.995644,4.468342,"Romenpad 9, 2652 BX Berkel en Rodenrijs, Netherlands"
"Grutto 6, 2651ZD te Berkel en Rodenrijs",Textile Collection,51.987034,4.468877,"Grutto 6, 2651 ZD Berkel en Rodenrijs, Netherlands"
"de Olmen 17, 2661AT te Bergschenhoek",Textile Collection,51.990869,4.496734,"17, De Olmen, Bergsche Ackers, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 AT, Netherlands"
"Valeriusplein 12, Alphen aan den Rijn",Textile Collection,52.14463,4.670255,"12, Valeriusplein, Componistenbuurt, Alphen aan den Rijn, South Holland, Netherlands, 2402 TL, Netherlands"
"Leeuwenhorststraat 27, 2665HM te Bleiswijk",Textile Collection,52.011451,4.540422,"Leeuwenhorststraat 27, 2665 HM Bleiswijk, Netherlands"
Kerksingel 3A Berkel en Rodenrijs,Textile Collection,51.993659,4.478371,"3a, Kerksingel, Parkwijk, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 CC, Netherlands"
"Pleinstraat 8, 2861X te Bergambacht",Textile Collection,51.935581,4.784688,"Pleinstraat 8, 2861 XH Bergambacht, Netherlands"
"Langeveldstraat 38, 2651GD te Berkel en Rodenrijs",Textile Collection,51.998591,4.486497,"Langeveldstraat 38, 2651 GD Berkel en Rodenrijs, Netherlands"
"Wethouder Schipperstraat 12, 2651EC te Berkel en Rodenrijs",Textile Collection,51.994877,4.481573,"Wethouder Schipperstraat 10, 2651 EC Berkel en Rodenrijs, Netherlands"
"Groene Loper 49, 2665VK te Bleiswijk",Textile Collection,52.011683,4.536111,"49, Groene Loper, De Tuinen, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 VK, Netherlands"
"Jaap ter Haarsingel 19, 2652GK te Berkel en Rodenrijs",Textile Collection,51.987757,4.460973,"19, Jaap ter Haarsingel, Gouden Griffel, Westpolder, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 GK, Netherlands"
De Vlasbloem,Textile Collection,51.826474,4.252205,"Zoetemanring 55, 3214 GA Zuidland, Netherlands"
De Maasoever Emmy Belinfantestraat,Textile Collection,51.835296,4.366419,"1, Emmy Belinfantestraat, Maaswijk, Spijkenisse, Nissewaard, South Holland, Netherlands, 3207 HA, Netherlands"
De Maasoever Maaswijkweg,Textile Collection,51.837602,4.373391,"EQUANS, Maaswijkweg, 3207 Spijkenisse, Netherlands"
"urgemeester Gründemannstraat 1, 2651EB te Berkel en Rodenrijs",Textile Collection,51.99446,4.481715,"1, Burgemeester Gründemannstraat, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 EB, Netherlands"
"Rodenrijseweg 359, 2651B te Berkel en Rodenrijs",Textile Collection,51.978192,4.462134,"359, Rodenrijseweg, Parkwijk, Plaszoom, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 BT, Netherlands"
"Schoolpad 1, 2651TM te Berkel en Rodenrijs",Textile Collection,52.000777,4.486037,"1, Schoolpad, Sterrenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 TM, Netherlands"
"Kenenburgweg 95, 2665HX te Bleiswijk",Textile Collection,52.009634,4.53771,"95, Kenenburgweg, De Tuinen, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 HX, Netherlands"
"Louis Paul Boonstraat 71, 2652KC te Berkel en Rodenrijs",Textile Collection,51.98993,4.464437,"Louis Paul Boonstraat 71, 2652 KC Berkel en Rodenrijs, Netherlands"
"Aronskelkstraat 20-B, 3053XE te Rotterdam",Textile Collection,51.962192,4.466898,"Aronskelkstraat 20A, 3053 XE Rotterdam, Netherlands"
"Bladmos 23, 2661MG te Bergschenhoek",Textile Collection,51.992863,4.496914,"Bladmos 23, 2661 MG Bergschenhoek, Netherlands"
"Spaarnestraat 16, 2652DG te Berkel en Rodenrijs",Textile Collection,51.999261,4.469843,"Spaarnestraat 16, 2652 DG Berkel en Rodenrijs, Netherlands"
"Korenmolenweg 5-A, 2665CH te Bleiswijk",Textile Collection,52.017195,4.535907,"Korenmolenweg 5A, 2665 CH Bleiswijk, Netherlands"
AZC Gorinchem,Textile Collection,51.839393,5.020229,"Buys Ballotstraat 13, 4207 HT Gorinchem, Netherlands"
Middin Den Haag,Textile Collection,52.06562,4.277005,"Middin, Weesperstraat, Rustenburg, Rustenburg en Oostbroek, Escamp, The Hague, South Holland, Netherlands, 2574 VZ, Netherlands"
"Staccato 3, 2925BP te Krimpen aan den IJssel",Textile Collection,51.919147,4.615014,"Staccato 3, 2925 BP Krimpen aan den IJssel, Netherlands"
"Hordijklaan 13, 2652MA te Berkel en Rodenrijs",Textile Collection,51.980558,4.46768,"Hordijklaan 13, 2652 MA Berkel en Rodenrijs, Netherlands"
"Lavendel 5, 2925VA te Krimpen aan den IJssel",Textile Collection,51.920595,4.621009,"Lavendel 3, 2925 VA Krimpen aan den IJssel, Netherlands"
"Louis Paul Boonstraat 47, 2652KC te Berkel en Rodenrijs",Textile Collection,51.989582,4.463658,"47, Louis Paul Boonstraat, Gouden Uil, Westpolder, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 KC, Netherlands"
Bizzwear Summa College,Textile Collection,51.961926,4.583674,"122, Dalkruidbaan, Schollevaar, Capelle aan den IJssel, South Holland, Netherlands, 2908 KC, Netherlands"
Bizzwear Gemeente Eindhoven,Textile Collection,51.961926,4.583674,"122, Dalkruidbaan, Schollevaar, Capelle aan den IJssel, South Holland, Netherlands, 2908 KC, Netherlands"
Bizzwear Gemeente Amsterdam,Textile Collection,51.961926,4.583674,"122, Dalkruidbaan, Schollevaar, Capelle aan den IJssel, South Holland, Netherlands, 2908 KC, Netherlands"
"Langeweg 8, Stellendam",Textile Collection,51.799476,4.028724,"8, Langeweg, De Vlugtheuvel, Stellendam, Goeree-Overflakkee, South Holland, Netherlands, 3251 LH, Netherlands"
"Korte Dreef 6, 2941SH te Lekkerkerk",Textile Collection,51.89735,4.677201,"6, Korte Dreef, Lekkerkerk, Krimpenerwaard, South Holland, Netherlands, 2941 SH, Netherlands"
"Laan der Vrijheid 31, 2661HH te Bergschenhoek",Textile Collection,51.987521,4.503642,"31, Laan der Vrijheid, Dorp, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 HH, Netherlands"
"Luijtensstraat 8, 2651EH te Berkel en Rodenrijs",Textile Collection,51.996043,4.483162,"8, Luijtensstraat, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 EH, Netherlands"
"Notaris Kruytstraat 6, 2661HP te Bergschenhoek",Textile Collection,51.987232,4.503062,"6, Notaris Kruytstraat, Dorp, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 HP, Netherlands"
"de Blankvoorn 8, 2661KB te Bergschenhoek",Textile Collection,51.991189,4.494218,"De Blankvoorn 8, 2661 KB Bergschenhoek, Netherlands"
"Mesdagstraat 2, 2661SM te Bergschenhoek",Textile Collection,51.997494,4.504178,"Mesdagstraat 2, 2661 SM Bergschenhoek, Netherlands"
stichting Moslim Informatie Centrum Nederland,Textile Collection,52.074249,4.281333,"Beeklaan 207, 2562 AE The Hague, Netherlands"
"de Berken 18, 2661AW te Bergschenhoek",Textile Collection,51.989862,4.495498,"De Berken 18, 2661 AW Bergschenhoek, Netherlands"
"Clingendaelsingel 1, 2665HT te Bleiswijk",Textile Collection,52.010171,4.536987,"Clingendaelsingel 1, 2665 HT Bleiswijk, Netherlands"
"Eiberplein 57, 2661BP te Bergschenhoek",Textile Collection,51.983271,4.501392,"57, Eiberplein, Dorp, Bergschenhoek, Lansingerland, South Holland, Netherlands, 2661 BP, Netherlands"
Terre des Hommes Rotterdam,Textile Collection,51.958058,4.49466,"109B, Bergse Dorpsstraat, Hillegersberg-Noord, Hillegersberg-Schiebroek, Rotterdam, South Holland, Netherlands, 3054 GC, Netherlands"
Droppie Smaragdplein,Textile Collection,52.072648,5.124026,"Smaragdplein, Tolsteeg, Utrecht, Netherlands, 3523 EH, Netherlands"
Droppie Bos en Lommer,Textile Collection,52.378631,4.846397,"Endam moda, Bos en Lommerplein, Bosleeuw, Landlust, West, Amsterdam, North Holland, Netherlands, 1055 EK, Netherlands"
"Roos 62, 2925XH te Krimpen aan den IJssel (gemeente Krimpen aan den IJssel",Textile Collection,51.919641,4.623237,"62, Roos, Krimpen aan den IJssel, South Holland, Netherlands, 2925 XH, Netherlands"
"Beukenlaan 135, 2665DW te Bleiswijk",Textile Collection,52.006344,4.546076,"135, Beukenlaan, Hoekeindse Zoom, Bleiswijk, Lansingerland, South Holland, Netherlands, 2665 DW, Netherlands"
"Rijsdijk 29-A, 2931AW te Krimpen aan de Lek",Textile Collection,51.892431,4.629961,"29a, Rijsdijk, Krimpen aan de Lek, Krimpenerwaard, South Holland, Netherlands, 2931 AW, Netherlands"
"Rozenpad 74, 2651XB te Berkel en Rodenrijs",Textile Collection,51.984715,4.463783,"74, Rozenpad, Bloemenwijk, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 XB, Netherlands"
"Ton Lutzstraat 27, 2652LJ te Berkel en Rodenrijs",Textile Collection,51.984143,4.450352,"32, Louis d'Orlaan, Gouden Podium, Westpolder, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2652 LB, Netherlands"
"Noordeindseweg 123-A, 2651LG te Berkel en Rodenrijs",Textile Collection,52.030441,4.477454,"Noordeindseweg 123a, 2651 Berkel en Rodenrijs, Netherlands"
"Nachtegaallaan 30, 2665EH te Bleiswijk",Textile Collection,52.007356,4.536576,"Nachtegaallaan 28, 2665 EH Bleiswijk, Netherlands"
"Tinbergenlaan 7, 2871KA te Schoonhoven",Textile Collection,51.949716,4.842002,"Tinbergenlaan 7, 2871 KA Schoonhoven, Netherlands"
Terre des Hommes Barneveld,Textile Collection,52.141487,5.586306,"Catharijnesteeg 14B, 3771 JT Barneveld, Netherlands"
"Spinel 32, 2651RT te Berkel en Rodenrijs",Textile Collection,52.005843,4.495413,"Spinel 34, 2651 RT Berkel en Rodenrijs, Netherlands"
Terre des Hommes Amersfoort,Textile Collection,52.1585,5.397061,"Kamp 79, 3811 AP Amersfoort, Netherlands"
"Beukenlaan 99, 2665DX te Bleiswijk",Textile Collection,52.005228,4.545443,"Beukenlaan 97, 2665 DX Bleiswijk, Netherlands"
Hoftijzer Vastgoedonderhoud,Textile Collection,51.966588,4.467845,"Veldkersweg 29, 3053 JR Rotterdam, Netherlands"
"Huijgenslaan 15, 2651EV te Berkel en Rodenrijs",Textile Collection,51.997253,4.484532,"Huijgenslaan 15, 2651 EV Berkel en Rodenrijs, Netherlands"
"Bremstraat 15, 2652MC te Berkel en Rodenrijs",Textile Collection,51.980065,4.467404,"Bremstraat 13, 2652 MC Berkel en Rodenrijs, Netherlands"
"Astersingel 13, 2651PH te Berkel en Rodenrijs",Textile Collection,51.982466,4.46798,"Astersingel 13, 2651 PH Berkel en Rodenrijs, Netherlands"
"Gouden Harplaan 8, 2652NA te Berkel en Rodenrijs",Textile Collection,51.993979,4.455208,"Gouden Harplaan 10, 2652 NA Berkel en Rodenrijs, Netherlands"
"Oostmeerlaan 132, 2652AE te Berkel en Rodenrijs",Textile Collection,52.00049,4.465797,"Oostmeerlaan 132, 2652 AE Berkel en Rodenrijs, Netherlands"
"Louis d'Orlaan 20, 2652LB te Berkel en Rodenrijs",Textile Collection,51.983732,4.450557,"Louis d'Orlaan 20, 2652 LB Berkel en Rodenrijs, Netherlands"
"van Naeldwijcklaan 67, 2651GM te Berkel en Rodenrijs",Textile Collection,51.999628,4.484971,"Van Naeldwijcklaan 67, 2651 GM Berkel en Rodenrijs, Netherlands"
Spijkenisse Scouts,Textile Collection,51.858329,4.334249,"Tennispad 2, 3202 LP Spijkenisse, Netherlands"
"Carry van Bruggenplantsoen 4, 2652KB te Berkel en Rodenrijs",Textile Collection,51.990506,4.464628,"Carry van Bruggenplantsoen 6, 2652 KB Berkel en Rodenrijs, Netherlands"
"Burgemeester Gründemannstraat 1, 2651EB te Berkel en Rodenrijs",Textile Collection,51.99446,4.481715,"51.99446, 4.481715"
"Weteringsingel 6, 2921BB te Krimpen aan den IJssel",Textile Collection,51.913719,4.582867,"6, Weteringsingel, Krimpen aan den IJssel, South Holland, Netherlands, 2921 BB, Netherlands"
"De Vaert 2, 2651EP te Berkel en Rodenrijs",Textile Collection,51.995841,4.480096,"2, De Vaert, Parkwijk, Berkel, Berkel en Rodenrijs, Lansingerland, South Holland, Netherlands, 2651 EP, Netherlands"
Scoutinggroep The Rangers Rotterdam,Textile Collection,51.884403,4.506416,"51.884403, 4.506416"
Spullenhulp Soest,Textile Collection,52.181193,5.309209,"52.181193, 5.309209"
Terre des Hommes Den Bosch,Textile Collection,51.686402,5.29892,"51.686402, 5.29892"
Terre des Hommes Deventer,Textile Collection,52.259511,6.148249,"52.259511, 6.148249"
Terre des Hommes Nijmegen,Textile Collection,51.846977,5.861527,"51.846977, 5.861527"
Terre des Hommes Eindhoven,Textile Collection,51.425762,5.489521,"51.425762, 5.489521"
Terre des Hommes Hoofddorp,Textile Collection,52.303758,4.692036,"52.303758, 4.692036"
"Groene Loper 9, 2665VK te Bleiswijk",Textile Collection,52.008832,4.533564,"52.008832, 4.533564"
