Date,Operation,Service Point,Material,Actual Amount (Item),Item UOM
2024-01-03 00:00:00,Textile Collection,Aldi Nieuwerkerk,Bag Number,19.0,pcs
2024-01-03 00:00:00,Textile Collection,Archipelschool De Omnibus,Bag Number,10.0,pcs
2024-01-03 00:00:00,Textile Collection,Archipelschool Het Element,Bag Number,9.0,pcs
2024-01-03 00:00:00,Textile Collection,Archipelschool Tweemaster-kameleon,Bag Number,10.0,pcs
2024-01-03 00:00:00,Textile Collection,Basisschool Stellegors,Bag Number,20.0,pcs
2024-01-03 00:00:00,Textile Collection,Bergpadschool,Bag Number,5.0,pcs
2024-01-03 00:00:00,Textile Collection,BS Willibrordus Esch,Bag Number,70.0,pcs
2024-01-03 00:00:00,Textile Collection,CBS Het Anker,Bag Number,3.0,pcs
2024-01-03 00:00:00,Textile Collection,Coop Bremmer,Bag Number,35.0,pcs
2024-01-03 00:00:00,Textile Collection,De Achtbaan Caenlaan,Bag Number,41.0,pcs
2024-01-03 00:00:00,Textile Collection,De Achtbaan Calaislaan,Bag Number,0.0,pcs
2024-01-03 00:00:00,Textile Collection,De Brielse Veste,Bag Number,5.0,pcs
2024-01-03 00:00:00,Textile Collection,De Langstee,Bag Number,6.0,pcs
2024-01-03 00:00:00,Textile Collection,De Lonneboot,Bag Number,5.0,pcs
2024-01-03 00:00:00,Textile Collection,De Talisman,Bag Number,40.0,pcs
2024-01-03 00:00:00,Textile Collection,De Vier Heemskinderen,Bag Number,12.0,pcs
2024-01-03 00:00:00,Textile Collection,Dierentehuis 's-Hertogenbosch,Bag Number,41.0,pcs
2024-01-03 00:00:00,Textile Collection,Emmaus Eindhoven,Bag Number,28.0,pcs
2024-01-03 00:00:00,Textile Collection,GBS de Regenboog,Bag Number,15.0,pcs
2024-01-03 00:00:00,Textile Collection,Gezamenlijke scholen Brielle,Bag Number,7.0,pcs
2024-01-03 00:00:00,Textile Collection,IKC Takkenbosse,Bag Number,1.0,pcs
2024-01-03 00:00:00,Textile Collection,Islamitisch Centrum Yildiz Schiedam,Bag Number,84.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Ahmet Yesevi Oosterhout,Bag Number,65.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Eyup Sultan Hellevoetsluis,Bag Number,7.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Eyup Sultan Vlaardingen,Bag Number,29.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Haci Bayram Veli Drunen,Bag Number,33.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Mescid-i Kuba Best,Bag Number,20.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Mevlana Hilversum,Bag Number,12.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Orhan Gazi 's-Hertogenbosch,Bag Number,12.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Ulu Bergen op zoom,Bag Number,63.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Veghel Selimiye,Bag Number,45.0,pcs
2024-01-03 00:00:00,Textile Collection,ISN Yeni Maassluis,Bag Number,28.0,pcs
2024-01-03 00:00:00,Textile Collection,Kerk Stellendam,Bag Number,38.0,pcs
2024-01-03 00:00:00,Textile Collection,Kindcentrum de Ark | Baarnhoeve,Bag Number,8.0,pcs
2024-01-03 00:00:00,Textile Collection,Kindcentrum de Ark |Lissabonweg,Bag Number,9.0,pcs
2024-01-03 00:00:00,Textile Collection,Koningin Wilhelmina school,Bag Number,0.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Albert Plesmanstraat 4,Bag Number,75.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Bergambachterstraat 9,Bag Number,38.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Breeweer 1,Bag Number,15.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Burgemeester Neetstraat 1,Bag Number,43.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Cellebroedersstraat 33,Bag Number,95.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Dijklaan 15,Bag Number,13.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Doelenplein 5,Bag Number,52.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Geerlaan 1,Bag Number,14.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Gerard Doustraat 1,Bag Number,35.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Groenland 37,Bag Number,32.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Johan Brouckplein 1,Bag Number,48.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Julianaplein 4,Bag Number,9.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Kerkplein 4,Bag Number,23.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Kerkweg 1,Bag Number,21.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Kivietslaan,Bag Number,73.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Kleine haven 11,Bag Number,45.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Koningin Julianastraat 77,Bag Number,42.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Meidoornstraat 84,Bag Number,14.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Milieustraat Veerweg,Bag Number,65.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Pleinstraat 9,Bag Number,53.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Potgieterstraat 1,Bag Number,25.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Rozenlaan 1,Bag Number,19.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Vlierstraat 16,Bag Number,23.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Weidelaan 1,Bag Number,21.0,pcs
2024-01-03 00:00:00,Textile Collection,Kringloop Maasdijk,Bag Number,12.0,pcs
2024-01-03 00:00:00,Textile Collection,Kringloop Zeeland Serooskerke,Bag Number,24.0,pcs
2024-01-03 00:00:00,Textile Collection,MGR Bekkerschool Spijkenisse,Bag Number,40.0,pcs
2024-01-03 00:00:00,Textile Collection,Moskee Arrahma Den Bosch,Bag Number,36.0,pcs
2024-01-03 00:00:00,Textile Collection,Moskee en Nour,Bag Number,25.0,pcs
2024-01-03 00:00:00,Textile Collection,Obs De Singel Vlaardingen,Bag Number,14.0,pcs
2024-01-03 00:00:00,Textile Collection,OBS De Tiende Penning,Bag Number,2.0,pcs
2024-01-03 00:00:00,Textile Collection,OBS Die Heenetrecht,Bag Number,3.0,pcs
2024-01-03 00:00:00,Textile Collection,OBS Klimop Vlaardingen,Bag Number,12.0,pcs
2024-01-03 00:00:00,Textile Collection,OKC de Reiger,Bag Number,8.0,pcs
